hole,name,par,yards,macro_elevation_change_ft_estimate,geometry_status
1,Tea Olive,4,445,28,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
2,Pink Dogwood,5,585,-48,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
3,Flowering Peach,4,350,6,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
4,Flowering Crab Apple,3,240,18,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
5,Magnolia,4,495,34,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
6,Juniper,3,180,-28,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
7,Pampas,4,450,24,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
8,Yellow Jasmine,5,570,42,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
9,Carolina Cherry,4,460,-38,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
10,Camellia,4,495,-72,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
11,White Dogwood,4,520,-36,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
12,Golden Bell,3,155,-8,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
13,Azalea,5,545,-32,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
14,Chinese Fir,4,440,9,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
15,Firethorn,5,550,-18,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
16,Redbud,3,170,-12,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
17,Nandina,4,450,14,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
18,Holly,4,465,45,hand-authored routing approximation; replace with licensed survey/vector data for exact geometry
